From_Date,From Time,Offense,Zip Code,DVFlag,Race,Sex,Firearm Used Flag  
41995,0.53,630,64110,U,,,N
41907,0.63,2601,64106,U,,,N
41854,0.14,801,64126,N,B,F,N
41831,0.91,1401,64151,U,U,U,N
41944,0.89,802,64145,Y,B,M,N
41803,0.12,1546,64111,U,B,M,Y
41761,0,302,64109,U,U,U,Y
41902,0.52,690,64132,U,W,M,N
41741,0.53,799,64123,U,W,F,N
41967,0.35,1401,64130,U,W,M,N
41915,0.9,1401,64111,U,U,U,N
41880,0.56,2601,64118,N,W,F,N
41963,0.44,802,64114,Y,B,M,N
41905,0.86,2601,64131,Y,U,U,N
41902,0.08,1701,64153,U,B,M,N
41717,0.59,630,64133,U,B,M,N
41939,0.39,501,64119,U,W,M,N
41942,0.54,2601,64157,U,W,M,N
41958,0.3,2601,64106,U,,,N
41780,0.99,501,64127,U,U,U,N
41977,0.37,501,64138,U,W,M,N
41844,0.69,1401,64118,N,W,M,N
41699,0.5,670,64124,U,B,F,N
41858,0.79,702,64134,U,W,F,N
41827,0.03,1401,64111,N,W,M,N
41718,0.92,1401,64155,U,U,U,N
41844,0.71,650,64127,U,B,M,N
41797,0.15,401,64110,U,U,U,Y
41894,0.5,1122,64130,U,U,U,N
41740,0.96,1849,64128,U,,,N
41790,0.84,610,64106,U,W,F,N
41807,0.72,1401,64129,U,U,U,N
41992,0.58,670,64130,U,B,F,N
41810,0.58,640,64156,N,W,F,N
41879,0.5,670,64106,U,W,M,N
41932,0.11,1850,64114,U,,,N
41774,0.52,630,64152,U,B,F,N
41757,,401,,U,B,F,Y
41795,0.86,802,64127,Y,B,F,N
41803,0.69,670,64111,U,,,N
41658,0.4,802,64119,U,W,M,N
41921,0.66,650,64119,N,U,U,N
41967,0.65,702,64124,U,W,M,N
41937,0.46,501,64127,U,,,N
41646,0.06,650,64111,U,U,U,N
41724,0.17,502,64134,U,U,U,N
41759,0.83,650,64131,U,B,F,N
41693,0.46,702,64129,U,U,U,N
41913,0.23,802,64128,Y,B,M,N
41820,0.5,1122,64137,U,U,U,N
41799,0.75,1401,64134,U,U,U,N
41833,0.12,501,64116,U,W,M,N
41703,0.53,501,64130,U,U,U,N
41928,0.84,401,64127,U,,,Y
41849,0.68,301,64130,U,,,N
41798,0.74,1401,64118,N,W,M,N
41797,0.98,1401,64137,U,B,M,N
41656,0.65,501,64138,U,W,M,N
41728,0.77,2402,64108,U,,,N
41880,0.47,302,64127,U,W,M,Y
41780,0.73,802,64130,Y,B,F,N
41698,0.79,640,64153,N,W,F,N
41741,0.49,2601,64151,U,W,M,N
41761,0.67,650,64118,N,A,M,N
41836,0.73,2604,64106,U,,,N
41755,0.52,840,64123,U,,,N
41752,0.5,1120,64153,N,W,F,N
41814,0.17,2655,64110,U,,,N
41925,0.33,802,64111,Y,W,M,N
41767,0,501,64124,U,,,N
41887,0.59,301,64127,U,B,M,N
41727,0.54,630,64108,U,,,N
41985,0.92,640,64132,U,U,U,N
41659,0.7,630,64138,U,B,M,N
41745,0.48,1849,64130,U,B,M,N
41749,0.73,2040,64130,Y,W,F,N
41866,0.42,801,,U,B,F,N
41975,0.8,801,64127,N,B,F,N
41861,0.23,802,64131,Y,B,M,N
41791,0.58,403,64130,Y,B,F,N
41780,0.39,702,64151,N,U,U,N
41825,0.6,801,64137,U,W,M,N
41833,0.86,801,64119,N,W,F,N
41895,0.65,2655,64133,U,B,F,N
41797,0.88,2664,64112,U,B,F,N
41796,0.75,502,64161,N,U,U,N
41642,0.65,1122,64133,U,U,U,N
41824,0.16,690,64124,N,U,U,N
41812,0.11,801,64111,N,B,F,N
41762,0.54,401,64128,N,B,M,N
41834,0.95,2655,64126,U,B,F,N
41795,0.77,501,64157,U,U,U,N
41743,0.95,302,64123,U,A,M,Y
41720,0.1,2601,66106,U,W,F,N
41856,0.01,2601,,U,W,F,N
41766,0.48,2601,64109,U,U,M,N
41766,0.48,2601,64109,U,W,M,N
41914,0.88,640,64111,U,W,M,N
41782,0.87,831,64108,N,B,M,N
41667,0.63,630,64114,U,B,F,N
41868,0.5,1401,64133,U,W,F,N
41743,0.46,501,64119,N,B,F,N
41810,0.06,401,64134,U,W,M,Y
41693,0.66,630,64110,U,,,N
41926,0.83,670,64133,U,U,U,N
41672,0.58,670,64114,U,U,U,N
41606,0.5,1170,64114,U,,,N
41809,0.49,650,64124,U,W,F,N
41968,0.6,690,64110,U,B,M,N
41717,0.08,2001,64154,U,B,M,N
42001,0.43,831,64130,Y,B,F,N
41827,0.68,1850,64116,U,W,M,N
41820,0.63,301,64108,U,B,M,N
41707,0.88,401,64127,Y,B,F,Y
41689,0.5,1702,64155,U,,,N
41663,0.79,501,64128,U,B,F,N
41713,0.9,1849,64108,U,,,N
41779,0.79,1401,64130,Y,B,M,N
41829,0.7,802,64131,Y,B,F,N
41975,0.07,1401,64123,U,U,U,N
41956,0.96,702,64116,N,U,U,N
41980,0.77,302,64124,U,W,F,Y
41744,0.48,690,64132,U,U,U,N
41755,0.52,2655,64123,U,,,N
41698,0.06,2201,,U,B,M,N
41894,0.33,1120,64151,U,U,U,N
41739,0.79,650,64158,N,U,U,N
41640,0.15,1401,64120,U,W,M,N
41903,0.05,401,64138,N,B,M,Y
41988,0,702,64106,N,B,M,N
41959,0.02,302,64110,U,B,M,Y
41959,0.94,1401,64109,U,U,U,N
41808,0.83,690,64155,N,W,F,N
41770,0.99,2655,64128,U,,,N
41904,0.81,640,64130,N,U,U,N
41837,0.01,2402,64130,U,W,F,N
41951,0.5,2601,64109,U,U,U,N
41896,0.72,801,64108,N,B,M,N
41742,0.89,1401,64110,U,,,N
41812,0.4,690,64155,N,W,F,N
41821,0.71,1849,64128,U,,,N
41693,0.71,1849,64127,U,,,N
41991,0.79,1401,64119,U,W,F,N
41822,0.38,2655,64124,U,,,N
41971,0.83,1401,64126,U,B,M,N
41689,0.58,840,64109,U,,,N
41939,0.55,801,64134,U,B,F,N
41896,0.94,801,64130,N,B,M,N
